PWM,wheel,enc_per_ms
0,left,0
0,left,0
0,left,0
0,left,0
0,left,0
0,left,0
0,left,0
0,left,0
0,left,0
0,left,0
2,left,0
2,left,0
2,left,0
2,left,0
2,left,0
2,left,0
2,left,0
2,left,0
2,left,0
2,left,0
4,left,0
4,left,0
4,left,0
4,left,0
4,left,0
4,left,0
4,left,0
4,left,0
4,left,0
4,left,0
6,left,0
6,left,0
6,left,0
6,left,0
6,left,0
6,left,0
6,left,0
6,left,0
6,left,0
6,left,0
8,left,0
8,left,0
8,left,0
8,left,0
8,left,0
8,left,0
8,left,0
8,left,0
8,left,0
8,left,0
10,left,0
10,left,0
10,left,0
10,left,0
10,left,0
10,left,0
10,left,0
10,left,0
10,left,0
10,left,0
12,left,0
12,left,0
12,left,0
12,left,0
12,left,0
12,left,0
12,left,0
12,left,0
12,left,0
12,left,0
14,left,0
14,left,0
14,left,0
14,left,0
14,left,0.0909
14,left,0
14,left,0
14,left,0.0909
14,left,0.0909
14,left,0.1818
16,left,0.0909
16,left,0.1818
16,left,0.0909
16,left,0.1818
16,left,0.1818
16,left,0.1818
16,left,0.1818
16,left,0.1818
16,left,0.1667
16,left,0.2727
18,left,0.2727
18,left,0.1818
18,left,0.2727
18,left,0.1818
18,left,0.3636
18,left,0.2727
18,left,0.1818
18,left,0.2727
18,left,0.2727
18,left,0.3636
20,left,0.1818
20,left,0.3636
20,left,0.2727
20,left,0.2727
20,left,0.2727
20,left,0.3636
20,left,0.2727
20,left,0.2727
20,left,0.2727
20,left,0.2727
22,left,0.3636
22,left,0.2727
22,left,0.2727
22,left,0.3636
22,left,0.2727
22,left,0.3333
22,left,0.3636
22,left,0.3636
22,left,0.3636
22,left,0.3636
24,left,0.3636
24,left,0.3636
24,left,0.3636
24,left,0.2727
24,left,0.3636
24,left,0.3636
24,left,0.4545
24,left,0.3636
24,left,0.3636
24,left,0.3636
26,left,0.4545
26,left,0.3636
26,left,0.4545
26,left,0.4545
26,left,0.4545
26,left,0.3636
26,left,0.4545
26,left,0.4545
26,left,0.4545
26,left,0.4545
28,left,0.4545
28,left,0.4545
28,left,0.5455
28,left,0.4545
28,left,0.5455
28,left,0.4545
28,left,0.5
28,left,0.5455
28,left,0.4545
28,left,0.5455
30,left,0.4545
30,left,0.5455
30,left,0.5455
30,left,0.5455
30,left,0.4545
30,left,0.5455
30,left,0.5455
30,left,0.5455
30,left,0.5455
30,left,0.5455
32,left,0.5455
32,left,0.6364
32,left,0.5455
32,left,0.5455
32,left,0.5455
32,left,0.6364
32,left,0.5455
32,left,0.6364
32,left,0.5455
32,left,0.6364
34,left,0.5455
34,left,0.6364
34,left,0.6364
34,left,0.5833
34,left,0.6364
34,left,0.6364
34,left,0.6364
34,left,0.6364
34,left,0.6364
34,left,0.6364
36,left,0.6364
36,left,0.5455
36,left,0.7273
36,left,0.6364
36,left,0.7273
36,left,0.5455
36,left,0.7273
36,left,0.6364
36,left,0.7273
36,left,0.5455
38,left,0.7273
38,left,0.7273
38,left,0.7273
38,left,0.6364
38,left,0.7273
38,left,0.7273
38,left,0.7273
38,left,0.7273
